http://en.wikipedia.org/wiki/Chalukya_dynasty,Chalukya dynasty
http://en.wikipedia.org/wiki/Pala_Empire,Pala Empire
http://en.wikipedia.org/wiki/Bengal,Bengal
http://en.wikipedia.org/wiki/Pallava,Pallava
http://en.wikipedia.org/wiki/Bhakti,Bhakti
http://en.wikipedia.org/wiki/Languages_of_India,Languages of India
http://en.wikipedia.org/wiki/Maharaja,Maharaja
http://en.wikipedia.org/wiki/Samanta,Samanta
http://en.wikipedia.org/wiki/Myanmar,Myanmar
http://en.wikipedia.org/wiki/Thailand,Thailand
http://en.wikipedia.org/wiki/Laos,Laos
http://en.wikipedia.org/wiki/Cambodia,Cambodia
http://en.wikipedia.org/wiki/Vietnam,Vietnam
http://en.wikipedia.org/wiki/Philippines,Philippines
http://en.wikipedia.org/wiki/Malaysia,Malaysia
http://en.wikipedia.org/wiki/Java,Java
http://en.wikipedia.org/wiki/Delhi_Sultanate,Delhi Sultanate
http://en.wikipedia.org/wiki/Mongol_Empire,Mongol Empire
http://en.wikipedia.org/wiki/Vijayanagara_Empire,Vijayanagara Empire
http://en.wikipedia.org/wiki/Shaivism,Shaivism
http://en.wikipedia.org/wiki/Mughal_Empire,Mughal Empire
http://en.wikipedia.org/wiki/Akbar,Akbar
http://en.wikipedia.org/wiki/Mughal_painting,Mughal painting
http://en.wikipedia.org/wiki/Mughal_architecture,Mughal architecture
http://en.wikipedia.org/wiki/Maratha_Empire,Maratha Empire
http://en.wikipedia.org/wiki/Rajputs,Rajputs
http://en.wikipedia.org/wiki/Sikh_empire,Sikh empire
http://en.wikipedia.org/wiki/East_India_Company,East India Company
http://en.wikipedia.org/wiki/Bengal,Bengal
http://en.wikipedia.org/wiki/The_Imperial_Gazetteer_of_India,The Imperial Gazetteer of India
http://en.wikipedia.org/wiki/Princely_state,Princely state
http://en.wikipedia.org/wiki/Suzerainty,Suzerainty
http://en.wikipedia.org/wiki/James_Broun-Ramsay,_1st_Marquess_of_Dalhousie,James Broun-Ramsay, 1st Marquess of Dalhousie
http://en.wikipedia.org/wiki/Company_rule_in_India,Company rule in India
http://en.wikipedia.org/wiki/English_Education_Act_1835,English Education Act 1835
http://en.wikipedia.org/wiki/Indian_Rebellion_of_1857,Indian Rebellion of 1857
http://en.wikipedia.org/wiki/British_Raj,British Raj
http://en.wikipedia.org/wiki/Indian_National_Congress,Indian National Congress
http://en.wikipedia.org/wiki/Jawaharlal_Nehru,Jawaharlal Nehru
http://en.wikipedia.org/wiki/Mahatma_Gandhi,Mahatma Gandhi
http://en.wikipedia.org/wiki/Famine_in_India,Famine in India
http://en.wikipedia.org/wiki/Indian_Army_during_World_War_I,Indian Army during World War I
http://en.wikipedia.org/wiki/Mohandas_Karamchand_Gandhi,Mohandas Karamchand Gandhi
http://en.wikipedia.org/wiki/India_in_World_War_II,India in World War II
http://en.wikipedia.org/wiki/Partition_of_India,Partition of India
http://en.wikipedia.org/wiki/Religious_violence_in_India,Religious violence in India
http://en.wikipedia.org/wiki/Caste-related_violence_in_India,Caste-related violence in India
http://en.wikipedia.org/wiki/Naxalite,Naxalite
http://en.wikipedia.org/wiki/Insurgency_in_Jammu_and_Kashmir,Insurgency in Jammu and Kashmir
http://en.wikipedia.org/wiki/Insurgency_in_Northeast_India,Insurgency in Northeast India
http://en.wikipedia.org/wiki/Indo-Pakistani_wars_and_conflicts,Indo-Pakistani wars and conflicts
http://en.wikipedia.org/wiki/Geography_of_India,Geography of India
http://en.wikipedia.org/wiki/Geology_of_India,Geology of India
http://en.wikipedia.org/wiki/Indian_Plate,Indian Plate
http://en.wikipedia.org/wiki/Indo-Australian_Plate,Indo-Australian Plate
http://en.wikipedia.org/wiki/Gondwana,Gondwana
http://en.wikipedia.org/wiki/Plate_tectonics,Plate tectonics
http://en.wikipedia.org/wiki/Seafloor_spreading,Seafloor spreading
http://en.wikipedia.org/wiki/Tethys_Ocean,Tethys Ocean
http://en.wikipedia.org/wiki/Oceanic_crust,Oceanic crust
http://en.wikipedia.org/wiki/Subduction,Subduction
http://en.wikipedia.org/wiki/Eurasian_plate,Eurasian plate
http://en.wikipedia.org/wiki/Indian_Ocean,Indian Ocean
http://en.wikipedia.org/wiki/Continental_crust,Continental crust
http://en.wikipedia.org/wiki/Himalayas,Himalayas
http://en.wikipedia.org/wiki/Indo-Gangetic_Plain,Indo-Gangetic Plain
http://en.wikipedia.org/wiki/Aravalli_Range,Aravalli Range
http://en.wikipedia.org/wiki/Thar_Desert,Thar Desert
http://en.wikipedia.org/wiki/South_India,South India
http://en.wikipedia.org/wiki/Satpura_Range,Satpura Range
