144,21,Bhimbetka rock shelters,http://en.wikipedia.org/wiki/Bhimbetka_rock_shelters
145,7785,Madhya Pradesh,http://en.wikipedia.org/wiki/Madhya_Pradesh
146,232,Neolithic,http://en.wikipedia.org/wiki/Neolithic
147,85,Mehrgarh,http://en.wikipedia.org/wiki/Mehrgarh
148,117,Indus Valley Civilization,http://en.wikipedia.org/wiki/Indus_Valley_Civilization
149,192,Mohenjo-daro,http://en.wikipedia.org/wiki/Mohenjo-daro
150,95,Harappa,http://en.wikipedia.org/wiki/Harappa
151,34,Dholavira,http://en.wikipedia.org/wiki/Dholavira
152,34,Kalibangan,http://en.wikipedia.org/wiki/Kalibangan
153,36,Chalcolithic,http://en.wikipedia.org/wiki/Chalcolithic
154,120,Iron Age,http://en.wikipedia.org/wiki/Iron_Age
155,174,Vedas,http://en.wikipedia.org/wiki/Vedas
156,3060,Vedic period,http://en.wikipedia.org/wiki/Vedic_period
157,119,Punjab region,http://en.wikipedia.org/wiki/Punjab_region
158,2880,Indo-Gangetic Plain,http://en.wikipedia.org/wiki/Indo-Gangetic_Plain
159,22,Indo-Aryan migration,http://en.wikipedia.org/wiki/Indo-Aryan_migration
160,190,Caste system,http://en.wikipedia.org/wiki/Caste_system
161,231,Deccan Plateau,http://en.wikipedia.org/wiki/Deccan_Plateau
162,49,Megalith,http://en.wikipedia.org/wiki/Megalith
163,27,Ajanta Caves,http://en.wikipedia.org/wiki/Ajanta_Caves
164,168,Aurangabad Maharashtra,http://en.wikipedia.org/wiki/Aurangabad_Maharashtra
165,3031,Ganges,http://en.wikipedia.org/wiki/Ganges
166,459,Mahajanapada,http://en.wikipedia.org/wiki/Mahajanapada
167,119,Gautama Buddha,http://en.wikipedia.org/wiki/Gautama_Buddha
168,63,Mahavira,http://en.wikipedia.org/wiki/Mahavira
169,13,Nekkhamma,http://en.wikipedia.org/wiki/Nekkhamma
170,139,Magadha,http://en.wikipedia.org/wiki/Magadha
171,624,Maurya Empire,http://en.wikipedia.org/wiki/Maurya_Empire
172,160,Ashoka,http://en.wikipedia.org/wiki/Ashoka
173,117,Sangam literature,http://en.wikipedia.org/wiki/Sangam_literature
174,76,Chera Dynasty,http://en.wikipedia.org/wiki/Chera_Dynasty
175,453,Chola dynasty,http://en.wikipedia.org/wiki/Chola_dynasty
176,25,Pandyan Dynasty,http://en.wikipedia.org/wiki/Pandyan_Dynasty
177,57,Roman Empire,http://en.wikipedia.org/wiki/Roman_Empire
178,32,Western Asia,http://en.wikipedia.org/wiki/Western_Asia
179,194,Southeast Asia,http://en.wikipedia.org/wiki/Southeast_Asia
